LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SalePrice
6000,2.5,5,1948,1950,789,1,0,2,1,5,0,1,250,115000
8500,2.5,7,1919,2005,1517,2,0,3,1,7,0,0,0,115000
11751,3.0,6,1977,1977,1844,2,0,3,1,7,1,2,546,190000
9525,3.0,4,1954,1972,1855,2,0,4,1,7,0,1,325,136900
7750,3.5,5,2000,2000,1430,2,1,3,1,7,1,2,400,180000
9965,3.5,5,2007,2007,2696,2,1,4,1,10,1,3,792,383970
21000,3.0,5,1953,1953,2259,2,0,3,1,7,2,2,450,217000
7259,3.0,8,1945,2002,2320,2,1,3,1,9,1,1,180,259500
3230,3.0,5,1999,1999,1458,2,1,2,1,5,1,2,440,176000
11616,2.5,5,1962,1962,1092,1,0,3,1,6,1,1,288,139000
8536,2.5,5,2006,2007,1125,1,1,2,1,5,0,2,430,155000
12376,3.5,5,1990,1990,3222,3,0,5,1,11,2,3,594,320000
8461,3.0,5,2005,2006,1456,2,1,3,1,8,1,2,390,163990
21453,3.0,5,1969,1969,988,1,0,1,1,4,2,2,540,180000
6060,2.0,5,1939,1950,1123,1,0,3,1,4,0,1,264,100000
9464,3.0,7,1958,1958,1080,1,0,3,1,5,0,1,288,136000
7892,3.0,5,1993,1993,1199,2,0,2,1,5,0,2,530,153900
17043,3.0,5,1979,1998,1586,2,0,3,1,7,1,2,435,181000
6780,3.0,8,1935,1982,754,1,0,2,1,5,0,0,0,84500
4928,3.0,5,1976,1976,958,2,0,2,1,5,1,2,440,128000
4388,2.5,7,1930,1950,840,1,0,3,1,5,1,0,0,87000
7590,3.0,5,1966,1966,1348,1,1,3,1,6,1,2,453,155000
8973,2.5,7,1958,1991,1053,1,1,3,1,6,0,2,750,150000
14200,3.5,6,1966,1966,2157,2,1,4,1,8,2,2,487,226000
12224,3.0,5,2000,2000,2054,2,1,3,1,7,1,2,390,244000
7388,2.5,6,1959,2002,1327,1,0,3,1,7,0,2,624,150750
6853,4.0,5,2001,2002,1296,2,0,2,1,6,0,2,471,220000
10335,2.5,6,1968,1993,1721,2,1,3,1,7,1,2,440,180000
10400,3.5,6,1970,1970,1682,2,0,3,1,7,1,2,530,174000
10355,2.5,5,1967,1967,1214,2,0,3,1,5,1,1,318,143000
11070,3.5,5,1988,1989,1959,3,0,5,2,9,0,3,766,171000
9066,4.0,5,1999,2000,1852,2,1,3,1,7,2,3,660,230000
15426,3.0,5,1997,1997,1764,2,1,3,1,7,0,2,470,231500
10500,2.0,5,1971,1971,864,1,0,3,1,5,1,0,0,115000
11645,3.5,5,2005,2005,1734,2,0,3,1,7,0,2,660,260000
8520,2.5,4,1952,1952,1385,2,0,4,1,6,0,2,720,166000
10335,3.5,5,1999,1999,1501,2,0,3,1,6,0,2,577,204000
9100,2.5,5,1963,1963,1728,2,0,6,2,10,0,2,504,125000
2522,3.0,5,2004,2006,1709,2,0,3,1,7,0,2,380,130000
6120,2.5,7,1931,1993,875,1,0,2,1,5,0,1,180,105000
9505,3.5,5,2001,2001,2035,2,1,3,1,8,1,2,434,222500
7500,3.5,5,2004,2005,1080,1,0,3,1,6,0,0,0,141000
6240,2.5,4,1936,1950,1344,1,0,3,1,7,0,1,240,115000
10356,2.5,6,1975,1975,969,1,1,3,1,5,0,2,440,122000
13891,4.0,5,2007,2008,1710,2,0,2,1,6,1,3,866,372402
14803,3.0,5,1971,1971,1993,2,1,4,1,8,1,2,495,190000
13500,3.0,7,1960,1975,1252,1,0,1,1,4,1,2,564,235000
11340,3.0,5,1923,1950,1200,1,0,4,1,7,0,1,312,125000
9600,3.0,5,1924,1950,1096,1,0,2,1,5,0,0,0,79000
7200,2.5,7,1950,1950,1040,1,0,2,1,5,0,2,625,109500
12003,4.0,5,2009,2010,1968,2,1,4,1,8,1,3,680,269500
12552,3.5,5,2004,2005,1947,2,1,3,1,8,1,2,678,254900
19378,3.5,5,2005,2006,2462,2,1,4,1,9,1,2,576,320000
11120,3.0,6,1984,1984,1232,2,0,3,1,6,0,2,516,162500
13688,4.5,5,2003,2004,2668,2,1,3,1,10,2,3,726,412500
12182,3.5,5,2005,2005,1541,2,0,3,1,7,1,2,532,220000
5500,2.0,6,1956,1956,882,1,0,1,1,4,0,0,0,103200
5400,3.0,7,1926,2004,1616,2,0,3,1,5,0,1,216,152000
10106,2.5,7,1940,1999,1355,2,0,4,2,6,0,0,0,127500
10708,2.5,5,1955,1993,1867,1,0,2,1,7,3,1,303,190000
10562,4.0,5,2007,2007,2161,1,1,3,1,8,1,3,789,325624
8244,3.5,5,2004,2004,1720,2,1,3,1,7,1,2,440,183500
16669,4.0,6,1981,1981,1707,2,1,2,1,6,1,2,511,228000
12358,2.5,6,1941,1950,1382,1,1,2,1,7,0,2,660,128500
31770,3.0,5,1960,1960,1656,1,0,3,1,7,2,2,528,215000
5306,3.5,7,1987,1987,1767,2,0,2,1,5,1,2,504,239000
10197,3.0,5,1961,1961,1362,1,1,3,1,6,1,2,504,163000
12416,3.0,5,1986,1986,1651,2,0,3,1,7,1,2,616,184000
12615,3.0,7,1950,2001,2158,2,0,4,1,7,1,2,576,243000
10029,3.0,5,1988,1989,2060,2,1,4,1,8,1,2,521,211000
13650,2.5,5,1958,1958,1920,2,0,4,1,8,1,2,451,172500
17423,4.5,5,2008,2009,2234,2,0,1,1,9,1,3,1166,501837
8520,2.5,6,1923,2006,968,1,0,2,1,5,0,2,480,100000
2117,3.0,5,2000,2000,1525,2,1,3,1,5,1,2,440,177000
7588,3.5,6,1920,1950,1802,1,1,4,1,9,1,1,216,200100
9060,2.5,6,1957,2006,1340,1,0,3,1,7,1,1,252,120000
11426,3.5,5,2003,2003,2082,2,1,3,1,6,0,2,484,200000
7438,2.5,8,1908,1991,1252,1,0,3,1,5,0,2,576,127000
22950,5.0,9,1892,1993,3608,2,1,4,1,12,2,3,840,475000
9947,3.5,5,1990,1991,1217,2,0,3,1,6,0,2,497,173000
10410,2.5,7,1916,1987,1656,2,1,3,1,8,0,1,180,135000
7018,2.5,5,1979,1979,1224,0,2,2,2,6,2,2,528,153337
4923,4.0,5,2001,2002,1593,1,1,0,1,5,1,2,682,286000
10570,4.0,8,1932,1994,2727,2,1,3,1,10,2,2,440,315000
7472,3.5,9,1972,2004,1479,1,1,4,1,7,0,2,484,184000
9017,3.5,5,1999,1999,1431,2,0,3,1,6,0,2,666,192000
2522,3.5,5,2004,2004,1709,2,0,3,1,7,0,2,380,130000
7180,2.5,7,1972,1972,864,1,0,3,1,5,0,1,352,127000
2280,3.0,6,1976,1976,1456,2,1,3,1,7,1,2,440,148500
9416,3.5,5,2007,2007,1726,2,0,3,1,8,1,3,786,311872
25419,4.0,4,1918,1990,3112,2,0,4,1,8,1,2,795,235000
5520,3.0,6,1912,1950,2229,1,0,5,1,8,0,0,0,104000
9591,4.0,5,2004,2005,1713,2,0,3,1,7,1,3,856,274900
8546,2.0,5,2003,2004,1121,2,0,2,1,5,0,2,440,140000
10125,3.0,6,1977,1977,1279,2,0,3,1,6,2,2,473,171500
7000,3.0,6,1924,1950,1310,2,0,2,1,6,0,1,398,112000
4438,3.0,5,2004,2004,848,1,0,1,1,3,1,2,420,149000
3500,2.5,7,1947,1950,1284,1,1,2,1,5,0,1,240,110000
11851,3.5,5,1990,1990,1442,2,0,3,1,5,0,2,500,180500
13673,2.5,5,1962,1962,1696,1,1,3,1,8,1,1,349,143900
12493,2.0,5,1960,1960,1100,1,0,3,1,6,1,1,312,141000
14364,3.5,5,1988,1989,2062,2,1,3,1,7,1,2,454,277000
8250,3.0,7,1964,1964,1092,1,0,3,1,6,0,2,504,145000
5604,2.5,6,1925,1950,864,1,0,2,1,5,0,0,0,98000
10420,3.0,5,2009,2009,1212,2,0,3,1,6,0,2,460,186000
8640,3.5,5,2009,2009,1852,2,1,3,1,7,1,2,644,252678
13568,2.5,5,1995,1995,990,1,0,3,1,5,0,2,576,156000
10900,3.0,7,1977,1977,1392,1,1,3,1,6,0,1,299,161750
10011,2.5,6,1957,1996,1236,1,0,2,1,6,1,1,447,134450
8450,3.5,5,2004,2004,1436,2,0,3,1,8,0,2,484,210000
9906,2.0,4,1925,1950,1328,1,0,3,1,8,0,1,210,107000
15660,3.5,9,1939,2006,1954,1,1,3,1,8,2,2,431,311500
3010,3.5,5,2005,2006,1248,2,0,2,1,5,0,2,438,167240
8990,3.5,5,2006,2006,1498,2,0,2,1,5,0,2,675,204900
8068,3.0,5,2002,2002,2267,2,1,4,1,8,1,2,390,200000
11475,3.0,6,1975,1975,1552,2,1,3,1,6,1,2,434,179900
10500,2.0,6,1971,1971,864,1,0,2,1,4,0,2,576,97000
13472,5.0,5,2003,2003,2392,2,0,3,1,8,1,3,968,386250
1680,2.5,5,1971,1971,1302,2,1,3,1,6,0,1,280,112000
9950,3.5,5,1995,1995,2520,2,1,4,1,9,1,3,721,290000
1869,3.0,6,1970,1970,987,1,1,2,1,5,0,1,280,106000
8521,2.5,5,1967,1967,912,1,0,3,1,5,1,1,336,125000
3182,3.5,5,2005,2006,1555,2,0,2,1,7,1,2,430,192500
8760,3.0,6,1959,1959,1194,1,0,3,1,6,0,1,312,148000
15138,4.0,5,1995,1996,2794,2,1,4,1,9,1,3,810,403000
1680,3.0,5,1972,1972,987,1,1,2,1,5,1,1,288,94500
10650,2.5,6,1976,1976,894,1,0,3,1,5,0,1,308,128200
7851,3.0,5,2002,2002,1960,2,1,4,1,8,2,2,440,216500
1680,3.0,3,1971,1971,987,1,1,2,1,5,0,1,264,89500
8773,3.5,5,2004,2004,1414,2,0,3,1,6,0,2,494,185500
9453,3.5,7,1993,2003,1744,2,1,3,1,7,0,2,457,194500
12030,4.0,5,2007,2007,1694,2,0,3,1,7,0,3,818,318000
8741,3.0,4,1945,1950,1487,1,1,3,1,7,1,1,220,113000
9000,4.0,5,2008,2008,1566,2,0,3,1,7,0,2,750,262500
3880,2.5,9,1945,1997,866,1,0,2,1,4,0,0,0,110500
5000,2.5,4,1900,1950,1440,1,0,3,1,6,0,1,352,79000
10762,3.0,6,1980,1980,1217,1,1,3,1,6,1,1,288,120000
8880,3.5,5,1994,2002,2110,2,1,3,1,8,2,2,463,205000
10400,3.5,5,1988,1988,1872,2,0,3,1,6,1,2,604,241500
9142,3.0,8,1910,1950,1928,2,0,4,2,9,0,1,440,137000
11310,3.0,5,1954,1954,1375,1,0,2,1,5,1,2,451,140000
11317,3.5,5,2003,2003,1668,2,1,3,1,8,0,2,500,180000
159000,3.0,7,1958,2006,2144,2,0,4,1,7,2,2,389,277000
5350,1.5,2,1940,1966,1306,1,0,3,1,6,0,0,0,76500
4750,4.0,5,2006,2007,1625,2,0,2,1,5,1,2,538,235000
8366,3.0,5,2004,2004,1640,2,1,3,1,6,0,2,520,173000
9350,3.0,7,1964,1991,1302,2,0,3,1,7,0,1,309,158000
8400,2.5,6,1957,1957,1314,1,0,3,1,5,0,1,294,145000
8738,3.5,5,1999,1999,2291,2,1,4,1,8,1,2,429,230000
8791,3.0,5,2003,2003,1728,2,1,3,1,7,0,2,673,207500
8814,3.5,5,2006,2006,1604,2,1,3,1,8,1,2,660,220000
12435,3.5,5,2001,2001,1792,2,1,3,1,7,1,2,564,231500
12702,2.5,5,1956,1956,882,1,0,2,1,4,0,1,308,97000
19296,3.0,5,1962,1962,1382,1,0,3,1,6,1,2,884,176000
9588,4.0,5,2007,2007,2574,2,1,3,1,10,1,3,868,276000
8471,3.0,7,1977,1995,1212,1,0,3,1,6,1,2,492,151000
5500,2.5,7,1929,2001,1316,1,0,3,1,6,0,2,484,130000
5232,2.5,5,1925,2004,764,1,0,2,1,4,0,2,504,73000
12090,3.0,6,1981,1981,1422,2,0,3,1,7,1,2,576,175500
11207,3.0,5,1997,1997,1511,2,1,3,1,8,1,2,413,185000
8400,2.5,8,1939,1997,2192,2,1,4,1,8,1,1,240,179500
6900,2.5,6,1940,1955,778,1,0,2,1,4,1,1,924,120500
7917,3.0,7,1976,1976,1113,1,1,3,1,6,1,1,504,148000
10728,4.0,5,2006,2006,1939,2,1,3,1,8,1,3,1053,266000
39104,3.5,7,1954,2005,1363,1,0,2,1,5,2,2,439,241500
11764,4.0,7,1999,2007,2270,2,1,4,1,9,1,3,671,290000
9600,3.0,6,1958,1988,1632,2,0,3,1,6,1,1,338,139000
8314,2.5,7,1982,1982,816,1,0,2,1,5,0,1,264,124500
7264,3.5,7,1925,2007,1548,2,1,3,1,5,0,2,672,205000
9196,3.5,5,2003,2003,1560,2,0,3,1,7,0,2,573,201000
19138,2.0,5,1951,1951,864,1,0,2,1,4,0,2,400,141000
14450,4.5,5,2006,2007,2121,2,1,3,1,8,1,3,732,415298
10005,3.5,5,1977,1977,2022,2,1,4,1,8,1,2,505,192000
11287,3.5,6,1989,1989,1982,2,1,3,1,7,1,2,575,228500
7200,3.0,5,2006,2006,1262,2,0,2,1,5,0,2,572,185000
5063,3.5,5,2007,2008,1314,2,0,2,1,6,1,2,626,207500
9612,4.0,5,2008,2009,1468,2,0,3,1,6,1,3,898,244600
8012,3.0,5,1992,1992,1575,2,0,2,1,5,0,2,529,179200
4251,3.5,5,2006,2007,1250,2,1,2,1,5,0,2,528,164700
9786,3.0,7,1962,1981,1734,1,1,3,1,7,1,2,440,159000
8125,2.0,4,1971,1971,858,1,0,3,1,5,0,0,0,88000
9819,2.5,5,1967,1967,900,1,0,3,1,5,0,1,280,122000
8730,3.0,7,1915,2003,1396,1,0,3,1,7,0,1,384,153575
15611,4.0,5,2006,2006,1919,2,1,3,1,8,1,2,685,233230
5687,2.5,6,1912,2000,1716,2,0,6,1,9,0,0,0,135900
11409,2.5,4,1949,2008,1716,1,1,3,1,8,1,1,281,131000
16659,3.5,7,1977,1994,2263,2,1,3,1,9,1,2,539,235000
9600,3.0,5,1953,1953,1644,1,0,3,1,7,2,2,418,167000
7937,3.0,6,1984,1984,1003,1,0,3,1,6,0,2,588,142500
13710,2.5,5,1950,1950,1558,1,1,4,1,6,0,1,282,152000
7399,3.5,5,1997,1998,1950,2,1,3,1,7,1,2,576,239000
11700,3.0,6,1968,1968,1743,1,2,3,1,7,1,2,539,175000
14000,3.0,8,1950,2004,1152,1,0,3,1,6,1,1,300,158500
15750,2.5,5,1953,1953,1336,1,0,2,1,5,2,1,375,157000
16226,4.0,5,1998,1999,2452,2,1,4,1,9,1,2,683,267000
13704,3.5,5,2001,2002,1541,2,0,3,1,6,1,3,843,205000
9800,2.5,7,1972,1972,894,1,0,3,1,5,0,2,552,149900
18386,3.5,9,1880,2002,3493,3,0,3,1,10,1,3,870,295000
10386,4.0,5,2004,2005,2000,2,0,3,1,8,0,3,888,305900
13474,3.5,5,1990,1991,2243,2,1,4,1,8,1,3,746,225000
7920,3.0,7,1920,1950,1406,1,0,3,1,6,0,0,0,89500
12342,2.0,5,1940,1950,861,1,0,1,1,4,0,2,539,82500
12378,4.5,5,2003,2004,1944,2,0,3,1,8,3,3,708,360000
7685,3.0,5,1993,1994,1501,2,1,3,1,6,1,2,420,165600
8000,3.0,6,1948,2002,972,1,0,2,1,5,1,1,240,132000
7800,2.5,7,1939,1950,1118,1,0,3,1,5,1,2,410,119900
215245,3.5,5,1965,1965,2036,2,0,3,1,8,2,2,513,375000
9600,3.5,7,1925,1990,1641,1,1,3,1,6,1,2,546,178000
7795,3.5,5,2004,2005,1432,2,1,3,1,6,1,2,432,188500
13005,3.5,7,1980,1980,2353,2,1,4,1,10,1,2,484,260000
9000,4.0,5,2006,2006,1959,2,1,3,1,8,1,3,1025,270000
9900,3.5,5,1993,1993,2646,2,1,4,1,9,1,3,656,260000
14115,3.5,5,1980,1980,1472,2,0,3,1,6,2,2,588,187500
16259,4.5,5,2006,2006,2596,3,1,4,1,9,0,3,840,342643
12099,4.0,5,2004,2004,2468,2,1,4,1,10,1,3,872,354000
10380,3.5,5,1986,1987,2730,2,1,4,1,8,1,2,576,301000
5820,1.5,8,1955,2005,1163,1,0,3,1,6,0,1,220,126175
11275,3.5,7,1967,2007,2978,2,1,5,1,11,1,2,564,242000
5000,2.5,6,1941,1950,803,1,0,2,1,5,0,2,360,87000
10846,4.0,5,1993,1993,1719,1,1,1,1,6,2,2,473,324000
11600,3.0,5,1960,1960,1383,1,1,3,1,7,0,1,292,145250
11888,3.0,6,1916,1994,2134,2,0,5,1,10,0,2,441,214500
6402,2.5,5,1920,1950,1192,1,0,3,1,6,0,1,189,78000
10624,2.5,4,1964,1964,1728,2,0,6,2,10,0,1,352,119000
8176,2.5,6,1958,1992,1056,1,0,3,1,6,0,1,308,139000
10655,4.0,5,2003,2004,1629,2,0,3,1,7,1,3,880,284000
8198,3.5,5,2004,2004,1358,2,0,2,1,6,1,2,484,207000
9042,3.0,5,1998,1998,1638,2,1,3,1,7,2,2,472,192000
164660,2.5,6,1965,1965,1786,2,0,3,1,7,2,2,529,228950
14157,4.5,5,2005,2006,1922,2,0,3,1,8,1,3,676,377426
9135,3.5,5,2002,2003,1536,2,0,3,1,7,0,2,532,214000
14145,3.5,7,1984,1998,1621,2,0,3,1,8,0,2,440,202500
12400,3.0,7,1958,1998,1215,1,0,3,1,6,0,1,297,155000
14191,4.0,5,2002,2002,1908,2,1,4,1,9,0,2,431,202900
8400,2.0,4,1950,1950,841,1,0,2,1,4,0,1,294,82000
8544,1.5,4,1949,1950,1040,2,0,2,2,6,0,2,400,87500
8849,4.5,5,2005,2005,1684,2,0,2,1,6,1,2,564,266000
2592,2.5,3,1976,1976,1112,1,1,3,1,4,0,1,336,85000
6435,3.0,5,1939,1950,1577,1,0,3,1,6,1,1,312,140200
12772,3.0,8,1960,1998,958,1,0,2,1,5,0,1,301,151500
17600,3.0,5,1960,1960,1478,2,0,3,1,6,2,2,498,157500
2448,3.5,5,2003,2004,1626,2,1,2,1,6,0,2,474,154000
20431,4.5,5,2005,2006,2728,2,1,4,1,10,2,3,706,437154
7820,4.5,5,2007,2007,1869,2,0,2,1,6,1,2,617,318061
5271,3.5,5,1986,1986,1453,1,1,2,1,6,1,2,445,190000
9084,2.5,6,1941,1950,1111,1,0,3,1,5,0,1,200,95000
8520,3.0,8,1928,2003,720,1,0,2,1,5,0,2,484,105900
8400,3.0,5,1940,2000,1595,1,0,2,1,6,2,1,240,140000
11249,3.0,5,1995,1995,1200,2,0,3,1,6,0,2,521,177500
9248,3.0,6,1992,1992,1167,2,0,3,1,6,0,2,400,173000
4224,2.5,5,1976,1976,1142,1,1,3,1,6,1,2,528,134000
6930,2.5,4,1958,1958,1352,1,0,3,1,6,0,1,288,130000
12011,4.0,5,1998,1998,1924,2,1,3,1,7,1,2,592,280000
7540,3.0,6,1978,1978,912,1,0,2,1,5,1,2,470,156000
9144,2.5,5,1940,1982,1505,1,0,3,1,8,0,1,240,145000
7301,3.5,5,2003,2003,1922,3,0,4,1,7,1,2,672,198500
1680,3.0,8,1972,2007,987,1,1,2,1,5,0,1,264,118000
18800,3.0,5,1976,1976,1574,2,1,3,1,6,1,2,566,190000
10690,2.5,7,1920,1997,1344,1,0,3,1,6,0,1,468,147000
9500,3.0,5,1963,1963,1394,1,1,3,1,6,2,2,514,159000
9150,3.0,5,1962,1962,1431,1,0,3,1,6,1,1,296,165000
7800,2.5,6,1954,1954,1268,1,0,2,1,7,1,1,244,132000
9830,2.5,7,1959,2006,1287,1,0,3,1,7,1,2,576,162000
8121,3.0,5,2000,2000,1664,2,1,3,1,7,1,2,460,172400
17120,2.0,4,1959,1959,1588,2,0,4,1,7,1,2,680,134432
7175,3.0,5,1984,1984,752,1,0,2,1,4,0,1,264,125000
